,shoe_title,shoe_link,original_price,reduced_price,discount
0,Nike Force 1 Low LV8 2 EasyOn,https://www.nike.com/t/force-1-low-lv8-2-easyon-baby-toddler-shoes-4VjwKp/FN0408-001,65.0,46.97,27.738461538461546
1,Nike Court Borough Low Recraft,https://www.nike.com/t/court-borough-low-recraft-baby-toddler-shoes-vHk7xr/DV5458-004,47.0,32.97,29.85106382978724
2,Nike Court Borough Mid 2,https://www.nike.com/t/court-borough-mid-2-baby-toddler-shoes-K2VTMK/CD7784-115,57.0,39.97,29.877192982456148
3,Nike Blazer Mid '77,https://www.nike.com/t/blazer-mid-77-baby-toddler-shoes-5ghcfw/DA4088-114,65.0,42.97,33.892307692307696
4,Nike Air Max 270,https://www.nike.com/t/air-max-270-baby-toddler-shoes-RWJ69t/HF0098-001,80.0,67.97,15.037500000000003
5,Nike Huarache Run 2.0,https://www.nike.com/t/huarache-run-2-baby-toddler-shoes-jH3c9J/FV5604-001,55.0,39.97,27.327272727272735
6,Jordan 1 Mid SE,https://www.nike.com/t/jordan-1-mid-se-baby-toddler-shoes-JMnp8p/FD5462-608,65.0,39.97,38.50769230769231
7,Nike Force 1 LV8,https://www.nike.com/t/force-1-lv8-baby-toddler-shoes-x4Scxt/FQ8352-110,65.0,53.97,16.96923076923077
8,Nike Court Legacy,https://www.nike.com/t/court-legacy-baby-toddler-shoes-NzVpPc/DA5382-005,40.0,35.97,10.075000000000001
9,Nike Force 1 Low SE EasyOn,https://www.nike.com/t/force-1-low-se-easyon-baby-toddler-shoes-1957P4/FZ1603-100,65.0,46.97,27.738461538461546
10,Nike Force 1 Low EasyOn,https://www.nike.com/t/force-1-low-easyon-baby-toddler-shoes-VK956X/FQ6949-001,65.0,51.97,20.046153846153846
11,Nike MD Valiant,https://www.nike.com/t/md-valiant-baby-toddler-shoes-RJGjJs/CN8560-002,50.0,39.97,20.06
12,Nike Force 1 LV8,https://www.nike.com/t/force-1-lv8-baby-toddler-shoes-ZLJqc6/FJ8788-001,60.0,41.97,30.049999999999997
13,Nike Force 1,https://www.nike.com/t/force-1-baby-toddler-shoes-kJpxBC/CZ1691-109,55.0,38.97,29.14545454545455
14,"Jordan 2 Retro ""Python""",https://www.nike.com/t/jordan-2-retro-python-baby-toddler-shoes-Vh0m0W/DQ8563-102,65.0,39.97,38.50769230769231
15,Nike Flex Runner 2,https://www.nike.com/t/flex-runner-2-baby-toddler-shoes-3P1w0c/DJ6039-600,42.0,25.97,38.16666666666667
16,Jordan 1,https://www.nike.com/t/jordan-1-baby-crib-bootie-bDCbGm/AT3745-007,60.0,33.97,43.38333333333334
17,Nike Air Max SC,https://www.nike.com/t/air-max-sc-baby-toddler-shoes-tDCZHt/CZ5361-012,60.0,40.97,31.716666666666672
18,Nike Tanjun EasyOn,https://www.nike.com/t/tanjun-easyon-baby-toddler-shoes-Lpnk7T/DX9043-005,50.0,33.97,32.06
19,Nike Force 1 LV8 2,https://www.nike.com/t/force-1-lv8-2-baby-toddler-shoes-1wH8bC/DX1886-800,60.0,41.97,30.049999999999997
20,Air Max 1 SE EasyOn,https://www.nike.com/t/air-max-1-se-easyon-baby-toddler-shoes-HRKh8d/FN7288-100,70.0,43.97,37.18571428571429
21,Stay Loyal 3,https://www.nike.com/t/stay-loyal-3-baby-toddler-shoes-QHkkFC/FB9924-001,55.0,38.97,29.14545454545455
22,Jordan 1 Low Alt,https://www.nike.com/t/jordan-1-low-alt-baby-toddler-shoes-qNbmtW/DR9747-072,60.0,41.97,30.049999999999997
23,Nike Air Max 270,https://www.nike.com/t/air-max-270-baby-toddler-shoes-qTcCpg/FV7019-001,85.0,63.97,24.741176470588233
