,shoe_title,shoe_link,original_price,reduced_price,discount
0,Air Jordan 1 Mid SE,https://www.nike.com/t/air-jordan-1-mid-se-mens-shoes-Zn07hL/FB9911-001,135.0,87.97,34.837037037037035
1,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-X5pM09/DQ8426-701,125.0,81.97,34.424
2,Air Jordan 1 Low SE,https://www.nike.com/t/air-jordan-1-low-se-mens-shoes-r4hJb1/FB9907-001,125.0,87.97,29.624000000000006
3,"Luka 2 ""Bred""",https://www.nike.com/t/luka-2-bred-basketball-shoes-vcXFrk/DX8733-006,130.0,78.97,39.25384615384615
4,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-womens-shoes-Kg3nnj/BQ6472-160,125.0,100.97,19.223999999999997
5,LeBron NXXT Gen,https://www.nike.com/t/lebron-nxxt-gen-basketball-shoes-55g4w1/DR8784-301,170.0,89.97,47.076470588235296
6,Air Jordan 1 Hi FlyEase,https://www.nike.com/t/air-jordan-1-hi-flyease-mens-shoes-VjGcGX/CQ3835-106,150.0,90.97,39.35333333333333
7,Nike Pegasus 40,https://www.nike.com/t/pegasus-40-mens-road-running-shoes-zD8H1c/DV3853-102,130.0,103.97,20.02307692307692
8,Air Jordan 1 Low,https://www.nike.com/t/air-jordan-1-low-mens-shoes-0LXhbn/553558-072,115.0,80.97,29.591304347826085
9,Air Jordan 1 Mid SE Craft,https://www.nike.com/t/air-jordan-1-mid-se-craft-mens-shoes-5VjD18/FD6817-003,135.0,87.97,34.837037037037035
10,Nike Flex Experience Run 11,https://www.nike.com/t/flex-experience-run-11-mens-road-running-shoes-GQV9kN/DD9284-001,75.0,45.97,38.70666666666666
11,Nike Air VaporMax 2021 FK,https://www.nike.com/t/air-vapormax-2021-fk-mens-shoes-NpTfFz/DH4084-001,210.0,126.97,39.53809523809524
12,Nike Free Run 2018,https://www.nike.com/t/free-run-2018-mens-road-running-shoes-4VTnGqeZ/942836-001,100.0,69.97,30.03
13,Jordan True Flight,https://www.nike.com/t/jordan-true-flight-mens-shoes-9TwpBF/CU4933-001,150.0,90.97,39.35333333333333
14,Air Jordan 1 Element,https://www.nike.com/t/air-jordan-1-element-shoes-Kcsdzl/DB2889-003,200.0,110.97,44.51500000000001
15,Air Jordan 1 Zoom CMFT 2,https://www.nike.com/t/air-jordan-1-zoom-cmft-2-mens-shoes-Tw02qw/DV1307-104,150.0,84.97,43.35333333333333
16,Jordan Max Aura 5,https://www.nike.com/t/jordan-max-aura-5-mens-shoes-nTmBrg/DZ4353-001,130.0,78.97,39.25384615384615
17,Nike Waffle One,https://www.nike.com/t/waffle-one-mens-shoes-4SPCK4/DA7995-100,105.0,78.97,24.790476190476195
18,Nike Free Run 5.0,https://www.nike.com/t/free-run-5-mens-road-running-shoes-Xp40hf/CZ1884-004,100.0,79.97,20.030000000000005
19,Nike Mercurial Vapor 15 Pro,https://www.nike.com/t/mercurial-vapor-15-pro-turf-low-top-soccer-shoes-k3JLmK/DJ5605-600,120.0,73.97,38.35833333333334
20,Jordan 6 Rings,https://www.nike.com/t/jordan-6-rings-mens-shoes-PFKJm7/FZ4178-010,170.0,102.97,39.42941176470588
21,Nike Air Max 95 Premium,https://www.nike.com/t/air-max-95-premium-mens-shoe-4Nzc1w/538416-007,170.0,99.97,41.194117647058825
22,Air Jordan 1 Elevate High,https://www.nike.com/t/air-jordan-1-elevate-high-womens-shoes-BCspwg/DN3253-121,145.0,92.97,35.88275862068966
23,Nike Revolution 6,https://www.nike.com/t/revolution-6-mens-road-running-shoes-B5GJnS/DC3728-003,70.0,48.97,30.042857142857148
