ticker,date,stock_price,after_hours_price,prev_close_price,day_range,year_range,Market_cap,Avg_vol,PE_Ratio,Dividend_yeld,Primary_exchange
TSLA,4/5/2024,$164.90 ,$171.19 ,$171.11 ,$160.51 - $170.86,$152.37 - $299.29,516.71B USD,77.26M,38.31,-,NASDAQ
AMD,4/5/2024,$170.42 ,$170.55 ,$165.83 ,$165.58 - $172.69,$81.02 - $227.30,275.42B USD,60.51M,324.28,-,NASDAQ
INTC,4/5/2024,$38.71 ,$38.64 ,$39.73 ,$38.51 - $39.46,$26.86 - $51.28,164.78B USD,35.62M,96.53,1.29%,NASDAQ
NVDA,4/5/2024,$880.08 ,$880.49 ,$859.05 ,$859.26 - $884.81,$262.20 - $974.00,2.20T USD,48.73M,73.75,0.02%,NASDAQ
AMZN,4/5/2024,$185.07 ,$185.20 ,$180.00 ,$181.97 - $186.27,$97.71 - $186.27,1.92T USD,30.11M,63.82,-,NASDAQ
RIVN,4/5/2024,$10.10 ,$10.12 ,$10.13 ,$10.01 - $10.37,$10.01 - $28.06,9.87B USD,47.78M,-,-,NASDAQ
AAPL,4/5/2024,$169.58 ,$169.47 ,$168.82 ,$168.95 - $170.39,$159.78 - $199.62,2.62T USD,56.18M,26.39,0.57%,NASDAQ
WBD,4/5/2024,$8.32 ,$8.33 ,$8.44 ,$8.16 - $8.48,$8.02 - $15.56,20.30B USD,27.64M,-,-,NASDAQ
MARA,4/5/2024,$18.43 ,$18.49 ,$18.47 ,$18.07 - $19.26,$7.16 - $34.09,4.93B USD,61.69M,13.68,-,NASDAQ
PLUG,4/5/2024,$3.14 ,$3.17 ,$3.15 ,$2.99 - $3.19,$2.26 - $13.44,2.15B USD,29.51M,-,-,NASDAQ
AAL,4/5/2024,$13.76 ,$13.75 ,$13.83 ,$13.70 - $13.94,$10.86 - $19.08,9.01B USD,22.74M,11.41,-,NASDAQ
PARA,4/5/2024,$11.97 ,$12.03 ,$12.37 ,$11.68 - $12.79,$10.16 - $24.00,8.23B USD,15.36M,-,1.67%,NASDAQ
SOFI,4/5/2024,$7.40 ,$7.41 ,$7.31 ,$7.25 - $7.46,$4.45 - $11.70,7.77B USD,45.43M,-,-,NASDAQ
GRAB,4/5/2024,$3.24 ,$3.23 ,$3.16 ,$3.11 - $3.25,$2.67 - $3.92,12.78B USD,23.21M,-,-,NASDAQ
EXLS,4/5/2024,$29.57 ,$29.57 ,$30.59 ,$28.16 - $30.59,$25.17 - $35.94,4.90B USD,820.29K,26.94,-,NASDAQ
APGE,4/5/2024,$56.81 ,$56.81 ,$59.00 ,$56.35 - $60.02,$14.19 - $72.29,3.32B USD,921.94K,-,-,NASDAQ
RNAC,4/5/2024,$13.31 ,$13.24 ,$15.12 ,$13.19 - $16.50,$13.19 - $42.60,2.17B USD,21.63K,-,-,NASDAQ
BLMN,4/5/2024,$26.91 ,$26.91 ,$27.89 ,$26.87 - $28.07,$22.03 - $30.13,2.34B USD,1.26M,10.49,3.57%,NASDAQ
COIN,4/5/2024,$240.90 ,$242.62 ,$249.61 ,$240.20 - $253.96,$46.43 - $283.48,58.36B USD,12.84M,645.97,-,NASDAQ
MSTR,4/5/2024,"$1,439.00 ","$1,462.00 ","$1,615.42 ","$1,432.00 - $1,674.25","$266.00 - $1,999.99",24.42B USD,2.76M,55.55,-,NASDAQ
ENPH,4/5/2024,$112.27 ,$112.20 ,$120.78 ,$112.25 - $117.58,$73.49 - $231.42,15.24B USD,2.62M,36.65,-,NASDAQ
ARRY,4/5/2024,$13.80 ,$13.85 ,$14.26 ,$13.72 - $14.25,$11.38 - $26.64,2.09B USD,5.51M,24.52,-,NASDAQ
