,shoe_title,shoe_link,original_price,reduced_price,discount
0,Air Jordan 1 Low SE,https://www.nike.com/t/air-jordan-1-low-se-mens-shoes-r4hJb1/FJ3459-160,125.0,87.97,29.624000000000006
1,Nike Air Force 1 Crater Flyknit Next Nature,https://www.nike.com/t/air-force-1-crater-flyknit-next-nature-mens-shoes-bHdNmN/DM0590-100,130.0,84.97,34.63846153846154
2,Air Jordan 1 Low,https://www.nike.com/t/air-jordan-1-low-mens-shoes-0LXhbn/553558-072,115.0,80.97,29.591304347826085
3,Air Jordan 1 Mid SE,https://www.nike.com/t/air-jordan-1-mid-se-mens-shoes-Zn07hL/852542-007,135.0,114.97,14.837037037037037
4,Nike Pegasus 40,https://www.nike.com/t/pegasus-40-mens-road-running-shoes-zD8H1c/DV3853-006,130.0,103.97,20.02307692307692
5,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-X5pM09/DQ8426-701,125.0,81.97,34.424
6,Air Jordan 1 Zoom CMFT 2,https://www.nike.com/t/air-jordan-1-zoom-cmft-2-mens-shoes-Tw02qw/DV1307-014,150.0,97.97,34.68666666666667
7,"Air Jordan 2 Low ""Origins""",https://www.nike.com/t/air-jordan-2-low-origins-mens-shoes-0GTxck/DV9956-006,150.0,120.97,19.35333333333333
8,Jordan Max Aura 5,https://www.nike.com/t/jordan-max-aura-5-mens-shoes-nTmBrg/DZ4353-101,130.0,71.97,44.63846153846154
9,Nike Air Max 95 Premium,https://www.nike.com/t/air-max-95-premium-mens-shoe-4Nzc1w/538416-007,170.0,99.97,41.194117647058825
10,Jordan 6 Rings,https://www.nike.com/t/jordan-6-rings-mens-shoes-PFKJm7/FZ4178-010,170.0,119.97,29.429411764705883
11,Nike Waffle Debut,https://www.nike.com/t/waffle-debut-mens-shoes-bWdG09/DH9522-003,75.0,63.97,14.706666666666667
12,Nike Air Max Pulse,https://www.nike.com/t/air-max-pulse-mens-shoes-DWTVpN/FQ8733-010,150.0,99.97,33.35333333333333
13,Nike Air VaporMax 2021 FK,https://www.nike.com/t/air-vapormax-2021-fk-mens-shoes-NpTfFz/DH4084-001,210.0,126.97,39.53809523809524
14,Jumpman MVP,https://www.nike.com/t/jumpman-mvp-mens-shoes-gzmjDz/DZ4475-041,165.0,123.97,24.86666666666667
15,"Luka 2 ""Bred""",https://www.nike.com/t/luka-2-bred-basketball-shoes-vcXFrk/DX8733-006,130.0,78.97,39.25384615384615
16,Nike Court Vintage Premium,https://www.nike.com/t/court-vintage-premium-mens-shoe-Qfq3Gv/CT1726-101,80.0,68.97,13.787499999999998
17,Nike Free Run 2018,https://www.nike.com/t/free-run-2018-mens-road-running-shoes-4VTnGqeZ/942836-001,100.0,69.97,30.03
18,"LeBron XXI ""Tahitian""",https://www.nike.com/t/lebron-xxi-tahitian-basketball-shoes-lnQSsH/FB2238-001,200.0,99.97,50.015
19,Nike Pegasus Trail 4,https://www.nike.com/t/pegasus-trail-4-mens-trail-running-shoes-ccmnVP/DJ6158-100,140.0,97.97,30.021428571428576
20,"Giannis Immortality 3 ""5 The Hard Way""",https://www.nike.com/t/giannis-immortality-3-5-the-hard-way-basketball-shoes-H93p2P/DZ7533-300,85.0,59.97,29.447058823529414
21,Nike Court Vision Low Next Nature,https://www.nike.com/t/court-vision-low-next-nature-mens-shoes-M967RF/DH2987-005,80.0,62.97,21.287500000000005
22,Nike Flex Experience Run 11,https://www.nike.com/t/flex-experience-run-11-mens-road-running-shoes-GQV9kN/DD9284-001,75.0,45.97,38.70666666666666
23,Nike Air Max 90,https://www.nike.com/t/air-max-90-mens-shoes-nkr3dc/FB9658-200,130.0,110.97,14.638461538461545
