,shoe_title,shoe_link,original_price,reduced_price,discount
0,Nike Air Max 1,https://www.nike.com/t/air-max-1-mens-shoes-2C5sX2/FD9082-100,140.0,109.97,21.450000000000003
1,Nike Air Max 95 Essential,https://www.nike.com/t/air-max-95-essential-mens-shoes-4Nzc1w/CT1268-100,175.0,129.97,25.731428571428573
2,Air Jordan 1 Low SE,https://www.nike.com/t/air-jordan-1-low-se-mens-shoes-r4hJb1/FJ3459-160,125.0,87.97,29.624000000000006
3,Air Jordan 1 Mid SE,https://www.nike.com/t/air-jordan-1-mid-se-mens-shoes-Zn07hL/FJ3458-160,135.0,94.97,29.651851851851852
4,Nike Pegasus 39,https://www.nike.com/t/pegasus-39-mens-road-running-shoes-jXTgc9/DM0164-402,130.0,77.97,40.02307692307693
5,Nike InfinityRN 4,https://www.nike.com/t/infinityrn-4-mens-road-running-shoes-hlqHFQ/FZ4019-100,160.0,127.97,20.018749999999997
6,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-womens-shoes-Kg3nnj/BQ6472-160,125.0,100.97,19.223999999999997
7,Air Jordan 1 Elevate High,https://www.nike.com/t/air-jordan-1-elevate-high-womens-shoes-BCspwg/DN3253-121,145.0,116.97,19.331034482758625
8,Nike Waffle One,https://www.nike.com/t/waffle-one-mens-shoes-4SPCK4/DA7995-100,105.0,78.97,24.790476190476195
9,Nike Air VaporMax 2023 Flyknit,https://www.nike.com/t/air-vapormax-2023-flyknit-mens-shoes-vSm5p2/DV1678-300,210.0,149.97,28.585714285714282
10,Nike Air Force 1 Crater Flyknit Next Nature,https://www.nike.com/t/air-force-1-crater-flyknit-next-nature-mens-shoes-bHdNmN/DM0590-100,130.0,84.97,34.63846153846154
11,Air Jordan 1 Low,https://www.nike.com/t/air-jordan-1-low-mens-shoes-0LXhbn/553558-072,115.0,80.97,29.591304347826085
12,Nike Pegasus 40,https://www.nike.com/t/pegasus-40-mens-road-running-shoes-zD8H1c/DV3853-006,130.0,103.97,20.02307692307692
13,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-X5pM09/DQ8426-701,125.0,81.97,34.424
14,Air Jordan 1 Zoom CMFT 2,https://www.nike.com/t/air-jordan-1-zoom-cmft-2-mens-shoes-Tw02qw/DV1307-014,150.0,97.97,34.68666666666667
15,"Air Jordan 2 Low ""Origins""",https://www.nike.com/t/air-jordan-2-low-origins-mens-shoes-0GTxck/DV9956-006,150.0,120.97,19.35333333333333
16,Jordan Max Aura 5,https://www.nike.com/t/jordan-max-aura-5-mens-shoes-nTmBrg/DZ4353-101,130.0,71.97,44.63846153846154
17,Jordan 6 Rings,https://www.nike.com/t/jordan-6-rings-mens-shoes-PFKJm7/FZ4178-010,170.0,119.97,29.429411764705883
18,Nike Waffle Debut,https://www.nike.com/t/waffle-debut-mens-shoes-bWdG09/DH9522-003,75.0,63.97,14.706666666666667
19,Nike Air Max Pulse,https://www.nike.com/t/air-max-pulse-mens-shoes-DWTVpN/FQ8733-010,150.0,99.97,33.35333333333333
20,Nike Air VaporMax 2021 FK,https://www.nike.com/t/air-vapormax-2021-fk-mens-shoes-NpTfFz/DH4084-001,210.0,126.97,39.53809523809524
21,Jumpman MVP,https://www.nike.com/t/jumpman-mvp-mens-shoes-gzmjDz/DZ4475-041,165.0,123.97,24.86666666666667
22,"Luka 2 ""Bred""",https://www.nike.com/t/luka-2-bred-basketball-shoes-vcXFrk/DX8733-006,130.0,78.97,39.25384615384615
23,Nike Court Vintage Premium,https://www.nike.com/t/court-vintage-premium-mens-shoe-Qfq3Gv/CT1726-101,80.0,68.97,13.787499999999998
