,shoe_title,shoe_link,original_price,reduced_price,discount
0,Nike Air VaporMax 2023 Flyknit,https://www.nike.com/t/air-vapormax-2023-flyknit-mens-shoes-vSm5p2/DV1678-008,210.0,180.97,13.823809523809526
1,Nike Air VaporMax Plus,https://www.nike.com/t/air-vapormax-plus-mens-shoe-nC0dzF/BQ5068-001,210.0,178.97,14.776190476190475
2,Nike Air Max Plus,https://www.nike.com/t/air-max-plus-shoes-x9G2xF/FV0393-001,185.0,157.97,14.610810810810815
3,Nike Air Max 2017,https://www.nike.com/t/air-max-2017-mens-shoes-BVqnkV/849559-100,190.0,154.97,18.436842105263164
4,Nike Air Max Goadome,https://www.nike.com/t/air-max-goadome-mens-boots-WlsMSS/865031-602,180.0,154.97,13.90555555555556
5,Nike Air Max 1 '86 OG G NRG,https://www.nike.com/t/air-max-1-86-og-g-nrg-mens-golf-shoes-GkbSLj/FB9152-100,180.0,153.97,14.461111111111114
6,Nike Air Max Penny,https://www.nike.com/t/air-max-penny-mens-shoes-p3DjvD/FQ8827-324,180.0,153.97,14.461111111111114
7,Nike Air Max 1 Premium,https://www.nike.com/t/air-max-1-premium-mens-shoes-8wKQ1X/FQ8731-012,160.0,136.97,14.393750000000004
8,Nike Air Max 270,https://www.nike.com/t/air-max-270-mens-shoes-KkLcGR/AH8050-024,160.0,136.97,14.393750000000004
9,Nike Air Max 2013,https://www.nike.com/t/air-max-2013-mens-shoes-3Df8l0/FZ3156-222,180.0,135.97,24.461111111111112
10,Nike Air Max 97,https://www.nike.com/t/air-max-97-mens-shoes-LJmK45/921826-021,175.0,135.97,22.302857142857146
11,Nike Air Max 95 Essential,https://www.nike.com/t/air-max-95-essential-mens-shoes-4Nzc1w/CT1268-100,175.0,129.97,25.731428571428573
12,Nike Air VaporMax 2021 FK,https://www.nike.com/t/air-vapormax-2021-fk-mens-shoes-NpTfFz/DH4084-001,210.0,126.97,39.53809523809524
13,Nike Air Max 1 Premium,https://www.nike.com/t/air-max-1-premium-shoes-Q7CP2n/FQ8172-645,160.0,120.97,24.393750000000004
14,Nike Air Max 90 GORE-TEX,https://www.nike.com/t/air-max-90-gore-tex-mens-shoes-cZwz8t/FD5810-200,160.0,119.97,25.01875
15,Nike Air Max 90,https://www.nike.com/t/air-max-90-shoes-Bd2qnn/FN6843-100,140.0,119.97,14.307142857142862
16,Nike Air Max Pulse,https://www.nike.com/t/air-max-pulse-mens-shoes-DWTVpN/FN7459-003,150.0,116.97,22.020000000000007
17,Nike Air Max Pulse Roam,https://www.nike.com/t/air-max-pulse-roam-mens-shoes-rg7NCQ/DZ3544-200,170.0,116.97,31.194117647058828
18,Nike Air Max Pre-Day,https://www.nike.com/t/air-max-pre-day-mens-shoes-JBXGg7/DZ4397-001,135.0,114.97,14.837037037037037
19,Nike Air Max 1 SC,https://www.nike.com/t/air-max-1-sc-mens-shoes-bNNbQl/FB9660-001,150.0,112.97,24.686666666666667
20,Nike Air Max 90,https://www.nike.com/t/air-max-90-mens-shoes-nkr3dc/FB9658-200,130.0,110.97,14.638461538461545
21,Nike Air Max 1,https://www.nike.com/t/air-max-1-mens-shoes-2C5sX2/FD9082-100,140.0,109.97,21.450000000000003
22,Nike College Air Max SYSTM (Georgia),https://www.nike.com/t/air-max-systm-georgia-mens-shoes-nv98v3/DZ7742-600,110.0,104.97,4.572727272727272
23,Nike Air Max LTD 3,https://www.nike.com/t/air-max-ltd-3-mens-shoes-RJzJf1/DD7118-002,130.0,99.97,23.099999999999998
