date,ticker,name,price,change,Price_change,volume,Avg_Vol_(3 month),Market_cap,PE_Ratio
4/5/2024,TSLA,"Tesla, Inc.",164.9,-6.21,-3.63%,137.801M,103.023M,525.172B,38.35
4/5/2024,AMD,"Advanced Micro Devices, Inc.",170.42,4.59,2.77%,65.744M,78.065M,275.423B,321.55
4/5/2024,INTC,Intel Corporation,38.71,-1.02,-2.57%,66.151M,46.39M,164.783B,96.77
4/5/2024,F,Ford Motor Company,13.28,0.07,0.53%,46.42M,54.328M,52.77B,12.3
4/5/2024,NIO,NIO Inc.,4.39,-0.11,-2.44%,41.253M,57.33M,9.175B,N/A
4/5/2024,NVDA,NVIDIA Corporation,880.08,21.03,2.45%,39.737M,54.113M,2.2T,73.52
4/5/2024,AMZN,"Amazon.com, Inc.",185.07,5.07,2.82%,41.959M,43.213M,1.922T,63.82
4/5/2024,PLTR,Palantir Technologies Inc.,22.96,0.48,2.14%,38.338M,71.076M,50.804B,255.11
4/5/2024,RIVN,"Rivian Automotive, Inc.",10.1,-0.03,-0.30%,36.915M,43.273M,9.872B,N/A
4/5/2024,AAPL,Apple Inc.,169.58,0.76,0.45%,41.844M,60.411M,2.619T,26.37
4/5/2024,PFE,Pfizer Inc.,26.66,0.01,0.04%,39.352M,43.079M,150.963B,72.05
4/5/2024,GOLD,Barrick Gold Corporation,17.86,0.47,2.70%,34.844M,21.522M,31.354B,24.81
4/5/2024,WBD,"Warner Bros. Discovery, Inc.",8.32,-0.12,-1.42%,34.774M,26.826M,20.298B,N/A
4/5/2024,MARA,"Marathon Digital Holdings, Inc.",18.43,-0.04,-0.22%,31.382M,78.263M,4.933B,17.39
4/5/2024,CCL,Carnival Corporation & plc,15.12,0.06,0.40%,29.7M,32.527M,19.807B,47.25
4/5/2024,PLUG,Plug Power Inc.,3.14,-0.01,-0.32%,30.218M,44.222M,2.149B,N/A
4/5/2024,ABEV,Ambev S.A.,2.41,-0.04,-1.63%,28.429M,12.144M,38.955B,13.39
4/5/2024,AAL,American Airlines Group Inc.,13.76,-0.07,-0.51%,29.973M,34.142M,9.009B,11.37
4/5/2024,PARA,Paramount Global,11.97,-0.4,-3.23%,29.166M,19.013M,8.273B,N/A
4/5/2024,SOFI,"SoFi Technologies, Inc.",7.4,0.09,1.23%,29.001M,55.419M,7.765B,N/A
4/5/2024,GRAB,Grab Holdings Limited,3.24,0.08,2.53%,27.238M,23.885M,12.711B,N/A
4/5/2024,BAC,Bank of America Corporation,37.11,0.19,0.51%,29.673M,40.532M,292.822B,12.05
4/5/2024,T,AT&T Inc.,17.42,-0.15,-0.85%,37.677M,38.718M,124.961B,8.84
4/5/2024,BCS,Barclays PLC,9.74,0.03,0.31%,24.734M,17.117M,36.746B,7.16
4/5/2024,KGC,Kinross Gold Corporation,6.4,0.12,1.91%,23.978M,13.52M,7.903B,18.82
date,ticker,name,price,%_change,Price_change,volume,Avg_Vol_(3 month),Market_cap,PE_Ratio
4/5/2024,ZGN,Ermenegildo Zegna N.V.,11.96,-1.98,-14.20%,5.02M,"658,966",2.994B,32.32
4/5/2024,RNAC,"Cartesian Therapeutics, Inc.",13.31,-1.81,-11.99%,"240,718","26,088",73.416M,N/A
4/5/2024,MSTR,MicroStrategy Incorporated,"1,439.00",-176.42,-10.92%,2.235M,2.331M,24.417B,54.43
4/5/2024,ENPH,"Enphase Energy, Inc.",112.27,-8.51,-7.05%,6.254M,4.156M,15.242B,36.45
4/5/2024,OCDDY,Ocado Group plc,9.66,-0.69,-6.67%,"71,823","39,472",3.952B,N/A
4/5/2024,USAC,"USA Compression Partners, LP",26.48,-1.4,-5.02%,"400,495","427,488",2.727B,132.4
4/5/2024,DAY,Dayforce Inc,61.04,-3.17,-4.94%,2.172M,1.405M,9.496B,174.4
4/5/2024,CABO,"Cable One, Inc.",392.01,-18.62,-4.53%,"211,888","87,788",2.203B,8.69
4/5/2024,STVN,Stevanato Group S.p.A.,28.98,-1.32,-4.36%,"493,066","349,985",7.877B,48.3
4/5/2024,BAIDF,"Baidu, Inc.",13.02,-0.58,-4.24%,"176,185","35,525",37.659B,13.71
4/5/2024,SIG,Signet Jewelers Limited,101.73,-4.31,-4.06%,"978,822","732,122",4.527B,6.78
4/5/2024,ANGPY,Anglo American Platinum Limited,6.81,-0.28,-3.95%,"74,081","53,091",10.817B,15.48
4/5/2024,PBI-PB,Pitney Bowes Inc. NT 43,17.96,-0.72,-3.85%,"32,433",N/A,3.347B,13.62
4/5/2024,CIADY,China Mengniu Dairy Company Limited,21.5,-0.84,-3.76%,"138,265","36,991",8.465B,12.72
4/5/2024,APGE,"Apogee Therapeutics, Inc.",56.81,-2.19,-3.71%,"431,896","696,338",3.315B,N/A
4/5/2024,TSLA,"Tesla, Inc.",164.9,-6.21,-3.63%,137.801M,103.023M,525.172B,38.35
4/5/2024,ZLNDY,Zalando SE,13.1,-0.48,-3.53%,"42,953","91,569",6.825B,77.06
4/5/2024,BLMN,"Bloomin' Brands, Inc.",26.91,-0.98,-3.51%,1.908M,1.306M,2.343B,10.51
4/5/2024,HOCPY,HOYA Corporation,115.8,-4.2,-3.50%,"22,105","32,809",40.589B,37.23
4/5/2024,COIN,"Coinbase Global, Inc.",240.9,-8.71,-3.49%,8.063M,14.305M,58.364B,669.17
4/5/2024,EXLS,"ExlService Holdings, Inc.",29.57,-1.02,-3.33%,2.671M,"933,051",4.902B,26.88
4/5/2024,EMBVF,"Arca Continental, S.A.B. de C.V.",10.61,-0.36,-3.32%,"27,202","7,958",18.435B,17.12
4/5/2024,CRSP,CRISPR Therapeutics AG,62.9,-2.16,-3.32%,1.679M,1.891M,5.049B,N/A
4/5/2024,PARA,Paramount Global,11.97,-0.4,-3.23%,29.166M,19.013M,8.273B,N/A
4/5/2024,ARRY,"Array Technologies, Inc.",13.8,-0.46,-3.23%,5.689M,5.851M,2.088B,24.64
4/8/2024,TSLA,"Tesla, Inc.",172.98,8.08,4.90%,103.964M,103.439M,550.905B,40.23
4/8/2024,VALE,Vale S.A.,12.5,0.7,5.93%,59.803M,27.112M,53.511B,6.83
4/8/2024,SOFI,"SoFi Technologies, Inc.",7.76,0.36,4.86%,56.561M,56.301M,8.143B,N/A
4/8/2024,INTC,Intel Corporation,37.98,-0.73,-1.89%,56.79M,46.899M,164.87B,94.95
4/8/2024,NIO,NIO Inc.,4.37,-0.02,-0.46%,46.713M,57.076M,9.133B,N/A
4/8/2024,MARA,"Marathon Digital Holdings, Inc.",17.95,-0.48,-2.60%,44.211M,77.027M,4.804B,16.93
4/8/2024,AMD,"Advanced Micro Devices, Inc.",169.9,-0.52,-0.31%,43.725M,77.776M,274.582B,320.57
4/8/2024,AMZN,"Amazon.com, Inc.",185.19,0.12,0.06%,39.134M,43.078M,1.924T,64.08
4/8/2024,PARA,Paramount Global,11.06,-0.91,-7.60%,36.761M,19.552M,8.255B,N/A
4/8/2024,AAPL,Apple Inc.,168.45,-1.13,-0.67%,37.171M,60.342M,2.601T,26.2
4/8/2024,CLSK,"CleanSpark, Inc.",15.36,-0.24,-1.54%,30.241M,36.677M,3.042B,N/A
4/8/2024,RIVN,"Rivian Automotive, Inc.",10.44,0.34,3.37%,28.449M,43.843M,10.205B,N/A
4/8/2024,AAL,American Airlines Group Inc.,13.9,0.14,1.02%,28.366M,33.58M,9.101B,11.49
