ticker,date,stock_price,lead_stock
AAL,2024-04-05,$13.76 ,$13.90 
AAL,2024-04-08,$13.90 ,$13.95
ABEV,2024-04-08,$2.41 ,$2.45
AGL,2024-04-08,$5.18 ,$5.56
ALK,2024-04-17,$42.72,$44.44
ALPN,2024-04-08,$38.53 ,$38.94
ALPN,2024-04-09,$38.94,$47.04
ALPN,2024-04-10,$47.04,$64.40
ALVO,2024-04-15,$12.50,$12.73
AMK,2024-04-08,$36.82 ,$37.06
AMZN,2024-04-05,$185.07 ,$185.19 
AMZN,2024-04-08,$185.19 ,$185.67
AMZN,2024-04-09,$185.67,$185.95
AMZN,2024-04-10,$185.95,$189.05
APLS,2024-04-08,$53.81 ,$55.12
APLS,2024-04-09,$55.12,$56.84
ARRY,2024-04-05,$13.80 ,$14.00 
ARRY,2024-04-08,$14.00 ,$14.53
AS,2024-04-08,$14.52 ,$14.94
BAC,2024-04-08,$37.50 ,$37.73
BEAM,2024-04-10,$27.06,$27.27
BLCO,2024-04-12,$14.24,$14.30
BLMN,2024-04-05,$26.91 ,$27.17 
BLMN,2024-04-08,$27.17 ,$27.35
BMA,2024-04-15,$47.46,$48.03
BMA,2024-04-16,$48.03,$48.09
BMA,2024-04-17,$48.09,$48.31
CAVA,2024-04-09,$60.28,$63.69
CAVA,2024-04-10,$63.69,$66.38
CF,2024-04-08,$79.79 ,$81.12
COIN,2024-04-05,$240.90 ,$256.99 
CORT,2024-04-08,$24.23 ,$25.46
CPNG,2024-04-12,$21.25,$21.65
CPNG,2024-04-15,$21.65,$22.51
CPNG,2024-04-16,$22.51,$22.63
CPT,2024-04-08,$102.13 ,$103.58
CRM,2024-04-15,$272.90,$277.41
CRSP,2024-04-05,$62.90 ,$64.09 
CRSP,2024-04-08,$64.09 ,$65.19
CSX,2024-04-17,$34.16,$34.39
DAL,2024-04-10,$46.24,$47.63
DAY,2024-04-08,$62.55 ,$64.10
DEI,2024-04-10,$13.17,$13.49
DKNG,2024-04-08,$45.51 ,$45.54
DUOL,2024-04-15,$195.56,$198.17
ENPH,2024-04-05,$112.27 ,$115.24 
ENPH,2024-04-08,$115.24 ,$121.98
ENV,2024-04-16,$61.80,$62.20
ENV,2024-04-17,$62.20,$62.22
ERIC,2024-04-15,$4.79,$4.88
ERIC,2024-04-16,$4.88,$4.93
ERIC,2024-04-17,$4.93,$5.06
EXEL,2024-04-11,$22.65,$22.81
EXLS,2024-04-05,$29.57 ,$29.96 
EXLS,2024-04-08,$29.96 ,$30.95
F,2024-04-08,$13.41 ,$13.54
FAF,2024-04-10,$55.47,$56.87
FAF,2024-04-11,$56.87,$57.05
FAST,2024-04-11,$69.88,$70.45
FIBK,2024-04-10,$24.97,$25.09
FLUT,2024-04-08,$192.65 ,$199.17
FND,2024-04-10,$114.08,$114.69
FNF,2024-04-10,$48.28,$48.52
FNF,2024-04-11,$48.52,$48.61
GGAL,2024-04-05,$27.37 ,$27.73 
GGAL,2024-04-08,$27.73 ,$28.66
GGAL,2024-04-09,$28.66,$28.85
GGAL,2024-04-10,$28.85,$29.77
GH,2024-04-08,$18.66 ,$19.20
GL,2024-04-11,$49.17,$59.09
GLBE,2024-04-08,$36.38 ,$36.51
GME,2024-04-08,$10.83 ,$11.01
GOLD,2024-04-08,$17.70 ,$18.01
GRAB,2024-04-05,$3.24 ,$3.30 
HXL,2024-04-10,$62.34,$62.56
IESC,2024-04-05,$133.63 ,$133.97 
IRT,2024-04-08,$16.29 ,$16.69
JANX,2024-04-10,$44.62,$50.00
JANX,2024-04-11,$50.00,$52.65
JBLU,2024-04-17,$6.83,$7.11
JBT,2024-04-08,$94.77 ,$97.07
JPM,2024-04-12,$182.79,$182.89
KGC,2024-04-08,$6.40 ,$6.46
KMPR,2024-04-11,$55.38,$56.01
KRC,2024-04-10,$33.24,$33.99
LLYVK,2024-04-16,$37.50,$37.64
MDB,2024-04-05,$362.82 ,$363.32 
MNDY,2024-04-10,$199.91,$200.19
MNSO,2024-04-16,$19.02,$20.56
MNSO,2024-04-17,$20.56,$20.88
MOD,2024-04-09,$91.46,$92.04
MOD,2024-04-10,$92.04,$93.41
MP,2024-04-08,$16.02 ,$17.44
MRVI,2024-04-09,$8.51,$8.60
MSTR,2024-04-05,"$1,439.00 ","$1,512.99 "
NEM,2024-04-08,$39.40 ,$39.67
NIO,2024-04-08,$4.37 ,$4.71
NS,2024-04-17,$21.48,$21.65
NSA,2024-04-10,$37.47,$37.55
NTRS,2024-04-16,$79.56,$81.23
NTRS,2024-04-17,$81.23,$81.41
NYCB,2024-04-10,$2.96,$3.00
OSCR,2024-04-09,$13.99,$14.94
OSCR,2024-04-10,$14.94,$15.02
PAM,2024-04-08,$46.04 ,$46.50
PFE,2024-04-08,$26.58 ,$26.78
QS,2024-04-15,$5.41,$5.45
QS,2024-04-16,$5.45,$5.56
RH,2024-04-10,$260.48,$267.09
RIVN,2024-04-05,$10.10 ,$10.44 
RIVN,2024-04-08,$10.44 ,$10.63
RKT,2024-04-08,$13.84 ,$14.11
RMD,2024-04-17,$173.83,$177.61
RVMD,2024-04-10,$36.50,$37.41
RXST,2024-04-05,$55.16 ,$56.35 
SBSW,2024-04-08,$5.51 ,$5.68
SFBS,2024-04-10,$59.73,$60.42
SFNC,2024-04-10,$18.14,$18.17
SLG,2024-04-10,$51.28,$52.83
SNAP,2024-04-17,$10.90,$11.63
SOFI,2024-04-05,$7.40 ,$7.76 
SOFI,2024-04-08,$7.76 ,$7.89
SSL,2024-04-08,$8.74 ,$9.13
STAA,2024-04-05,$48.68 ,$49.49 
STAA,2024-04-08,$49.49 ,$52.25
SUN,2024-04-17,$54.00,$54.37
TAL,2024-04-10,$11.77,$12.21
TEAM,2024-04-15,$191.84,$194.85
TEAM,2024-04-16,$194.85,$195.07
TMDX,2024-04-05,$85.04 ,$89.93 
TMDX,2024-04-08,$89.93 ,$93.24
TMDX,2024-04-09,$93.24,$95.65
TRV,2024-04-17,$206.58,$210.42
TSLA,2024-04-05,$164.90 ,$172.98 
TSLA,2024-04-08,$172.98 ,$176.88
UAL,2024-04-17,$48.74,$51.42
UNH,2024-04-16,$468.89,$478.99
UNH,2024-04-17,$478.99,$493.18
UPST,2024-04-10,$24.43,$24.75
VCTR,2024-04-16,$44.62,$44.66
VCTR,2024-04-17,$44.66,$45.90
VERA,2024-04-10,$41.62,$48.82
VFC,2024-04-12,$12.11,$12.15
VFC,2024-04-15,$12.15,$12.57
VLY,2024-04-10,$7.32,$7.38
VNO,2024-04-08,$28.84 ,$29.98
W,2024-04-10,$61.73,$62.75
WBD,2024-04-05,$8.32 ,$8.52 
WBD,2024-04-08,$8.52 ,$8.69
WDFC,2024-04-10,$233.18,$241.51
WFC,2024-04-12,$56.47,$56.97
WMG,2024-04-08,$35.10 ,$35.20
XPEV,2024-04-09,$8.07,$8.15
XPEV,2024-04-10,$8.15,$8.27
