ticker,date,stock_price,lead_stock,initialRank,rank,cumm,sum_cumm,max
MRNA,2024-04-09,$111.60,$107.14,1,1,1,7.0,7
MRNA,2024-04-10,$107.14,$107.01,2,2,1,7.0,7
MRNA,2024-04-11,$107.01,$105.14,3,3,1,7.0,7
MRNA,2024-04-12,$105.14,$103.86,4,4,1,7.0,7
MRNA,2024-04-15,$103.86,$103.79,5,5,1,7.0,7
MRNA,2024-04-16,$103.79,$103.44,6,6,1,7.0,7
MRNA,2024-04-17,$103.44,$102.00,7,7,1,7.0,7
BCS,2024-04-08,$9.87 ,$9.73,1,1,1,6.0,6
BCS,2024-04-09,$9.73,$9.59,2,2,1,6.0,6
BCS,2024-04-10,$9.59,$9.36,3,3,1,6.0,6
BCS,2024-04-11,$9.36,$9.18,4,4,1,6.0,6
BCS,2024-04-12,$9.18,$9.16,5,5,1,6.0,6
BCS,2024-04-15,$9.16,$9.00,6,6,1,6.0,6
T,2024-04-08,$17.25 ,$16.90,1,1,1,6.0,6
T,2024-04-09,$16.90,$16.73,2,2,1,6.0,6
T,2024-04-10,$16.73,$16.42,3,3,1,6.0,6
T,2024-04-11,$16.42,$16.31,4,4,1,6.0,6
T,2024-04-12,$16.31,$16.24,5,5,1,6.0,6
T,2024-04-15,$16.24,$16.09,6,6,1,6.0,6
BIO,2024-04-11,$311.87,$300.45,1,1,1,5.0,5
BIO,2024-04-12,$300.45,$300.41,2,2,1,5.0,5
BIO,2024-04-15,$300.41,$292.75,3,3,1,5.0,5
BIO,2024-04-16,$292.75,$290.86,4,4,1,5.0,5
BIO,2024-04-17,$290.86,$281.02,5,5,1,5.0,5
CHWY,2024-04-11,$18.54,$17.64,1,1,1,5.0,5
CHWY,2024-04-12,$17.64,$16.57,2,2,1,5.0,5
CHWY,2024-04-15,$16.57,$16.56,3,3,1,5.0,5
CHWY,2024-04-16,$16.56,$16.54,4,4,1,5.0,5
CHWY,2024-04-17,$16.54,$16.12,5,5,1,5.0,5
CRDO,2024-04-11,$23.02,$21.44,1,1,1,5.0,5
CRDO,2024-04-12,$21.44,$19.44,2,2,1,5.0,5
CRDO,2024-04-15,$19.44,$19.38,3,3,1,5.0,5
